model,seed,domain,method,n,coverage,average_set_size,singleton_fraction,empty_fraction,singleton_selective_risk,point_error,coverage_cluster_ci_low,coverage_cluster_ci_high,set_size_cluster_ci_low,set_size_cluster_ci_high,n_groups,one_image_per_group_coverage,one_image_per_group_ci_low,one_image_per_group_ci_high,historical_image_exact_ci_low,historical_image_exact_ci_high,quality_clip_low,quality_clip_high
vit_b_16,2026,test,quality_aps,1480,0.904054054054054,2.4574324324324324,0.1972972972972973,0.0804054054054054,0.00684931506849315,0.2141891891891892,0.8882743527226286,0.9193548387096774,2.3788593774062363,2.5340490322009126,1094,0.876599634369287,0.8556352818911894,0.8955128674818367,0.8878993938787941,0.9185833628817807,,
vit_b_16,2026,test,pooled_raps,1480,0.9027027027027027,2.2283783783783786,0.19594594594594594,0.07297297297297298,0.0034482758620689655,0.2141891891891892,0.885989010989011,0.9184754123631879,2.1648273951666828,2.2895094784261647,1094,0.8802559414990859,0.8595313695967608,0.8989086892550469,0.8864571379971897,0.9173286364334462,,
vit_b_16,2026,test,quality_raps,1480,0.9047297297297298,2.2283783783783786,0.19932432432432431,0.07094594594594594,0.003389830508474576,0.2141891891891892,0.888121546961326,0.920054860303472,2.1659889507845693,2.28787903856567,1094,0.8829981718464351,0.8624571857019677,0.9014517693330131,0.888620859226919,0.9192103856099023,,
vit_b_16,2026,test,class_conditional_lac,1480,0.9013513513513514,1.8114864864864866,0.4810810810810811,0.0,0.0702247191011236,0.2141891891891892,0.8823914848197344,0.9197572488199596,1.757014930081562,1.8657314629258517,1094,0.9186471663619744,0.9008405140630663,0.9341601750509623,0.8850157680535651,0.9160730160417093,,
vit_b_16,2026,test,confidence_mondrian_control,1480,0.9094594594594595,1.6506756756756757,0.4797297297297297,0.026351351351351353,0.04788732394366197,0.2141891891891892,0.8927092587621096,0.92563124038634,1.5993124143897341,1.7012041133389844,1094,0.9095063985374772,0.8909288446081068,0.9258440672829398,0.8936776187664729,0.9235929814638573,,
vit_b_16,2026,external,pooled_lac,2106,0.587369420702754,1.691358024691358,0.4838556505223172,0.0,0.5230618253189402,0.5897435897435898,0.5622691055578509,0.6111382064764402,1.656189285011832,1.7261794457192696,1297,0.5867386276021588,0.5593829070276707,0.6137003338388328,0.5659964945136475,0.6084987909759885,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,quality_lac,2106,0.600664767331434,1.7830009496676162,0.4472934472934473,0.0,0.5201698513800425,0.5897435897435898,0.5769393841698315,0.6249393730122798,1.744598822819525,1.8218728339473325,1297,0.6083269082498073,0.5811553863818137,0.6350062702933114,0.5793818894281513,0.6216670052142383,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,pooled_aps,2106,0.8689458689458689,3.4981006647673314,0.009971509971509971,0.0,0.2857142857142857,0.5897435897435898,0.852769012871201,0.8851103491151128,3.4650062229718643,3.5304868713665205,1297,0.874325366229761,0.8550482230101414,0.8918869931501366,0.8537815401504,0.8830748513415053,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,quality_aps,2106,0.8656220322886989,3.4715099715099713,0.011870845204178538,0.0,0.32,0.5897435897435898,0.8489479433017081,0.8818432015332293,3.437731675676337,3.504972248979668,1297,0.8704703161141095,0.8509687188334163,0.8882746488089658,0.8503090346947674,0.8799092379462043,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,pooled_raps,2106,0.808641975308642,2.983855650522317,0.008547008547008548,0.0,0.3333333333333333,0.5897435897435898,0.7900443047395665,0.8268398776258935,2.963169985711734,3.003770072712132,1297,0.8080185042405551,0.7855097427692891,0.8291216468583373,0.791179156350533,0.8252412597728525,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,quality_raps,2106,0.8072174738841406,2.976258309591643,0.00949667616334283,0.0,0.3,0.5897435897435898,0.788425422705314,0.8253590498101296,2.9551463011893597,2.9967581319237704,1297,0.8064764841942945,0.7839060692847363,0.8276484140882867,0.7897091778350049,0.8238662648974362,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,class_conditional_lac,2106,0.6695156695156695,2.2369420702754037,0.26590693257359926,0.0,0.5428571428571428,0.5897435897435898,0.6464004545723544,0.6929292702579307,2.190752953642017,2.2841661349620703,1297,0.6738627602158828,0.6475917536924347,0.6993432546718785,0.6489631227088932,0.6895953442052228,0.31718898385565053,0.017094017094017096
vit_b_16,2026,external,confidence_mondrian_control,2106,0.6433998100664767,2.0042735042735043,0.251661918328585,0.014719848053181387,0.5018867924528302,0.5897435897435898,0.6202706099486894,0.6660368445914029,1.9662754056043503,2.042357198604912,1297,0.6499614494988435,0.6233004110674369,0.675940875180012,0.6225165653717609,0.6638831435615514,0.31718898385565053,0.017094017094017096
